#,Stage and Task,Error type
1,Verification,Incorrect Docs
2,Verification,Incorrect Data Input
3,Verification,Incorrect Data Input
4,Verification,Insufficient Docs
5,Verification,Incorrect Data Input
6,Verification,Incorrect Data Input
7,Verification,Incorrect Data Input
8,Verification,Insufficient Docs
9,Verification,Insufficient Docs
10,Verification,Incorrect Data Input
11,Create Offer,Incorrect Data Input
12,Accept Offer,Insufficient Docs
13,Valuation,Insufficient Docs
14,Verification,Incorrect Data Input
15,Title Search,Incorrect Data Input
16,Structure Solution,Incorrect Data Input
17,Verification,Incorrect Data Input
18,Verification,Incorrect Data Input
19,Verification,Insufficient Docs
20,Verification,Incorrect Data Input
21,Verification,Incorrect Docs
22,Verification,Insufficient Docs
23,Title Search,Incorrect Data Input
24,Verification,Incorrect Data Input
25,Verification,Incorrect Data Input
26,Verification,Incorrect Data Input
27,Verification,Incorrect Data Input
28,Verification,Insufficient Docs
29,Verification,Incorrect Data Input
30,Verification,Incorrect Data Input
31,Title Search,Incorrect Data Input
32,Title Search,Incorrect Data Input
33,Title Search,Incorrect Data Input
34,Verification,Insufficient Docs
35,Verification,Incorrect Data Input
36,Verification,Incorrect Data Input
37,Create Offer,Insufficient Docs
38,Create Offer,Incorrect Data Input
39,Create Offer,Incorrect Data Input
40,Create Offer,Incorrect Data Input
41,Create Offer,Incorrect Data Input
42,Verification,Incorrect Data Input
43,Verification,Incorrect Data Input
44,Verification,Incorrect Data Input
45,Verification,Incorrect Data Input
46,Verification,Insufficient Docs
47,Verification,Incorrect Data Input
48,Verification,Insufficient Docs
49,Verification,Insufficient Docs
50,Verification,Incorrect Docs
51,Title Search,Insufficient Docs
52,Title Search,Incorrect Data Input
53,Verification,Incorrect Data Input
54,Verification,Incorrect Data Input
55,Verification,Incorrect Data Input
56,Verification,Insufficient Docs
57,Verification,Incorrect Data Input
58,Title Search,Incorrect Data Input
59,Verification,Incorrect Data Input
60,Verification,Incorrect Data Input
61,Verification,Incorrect Data Input
62,Verification,Incorrect Data Input
63,Verification,Incorrect Data Input
64,Verification,Incorrect Data Input
65,Verification,Incorrect Data Input
66,Verification,Inadequate Supp. comments
67,Verification,Incorrect Data Input
68,MCD,Inadequate Supp. comments
69,Verification,Incorrect Data Input
70,Verification,Insufficient Docs
71,Verification,Insufficient Docs
72,Verification,Insufficient Docs
73,Verification,Incorrect Data Input
74,Verification,Insufficient Docs
75,Verification,Insufficient Docs
76,Verification,Incorrect Data Input
77,Verification,Insufficient Docs
78,Verification,Inadequate Supp. comments
79,Verification,Insufficient Docs
80,Create Offer,Incorrect Data Input
81,MCD,Incorrect Data Input
82,Verification,Incorrect Data Input
83,Verification,Incorrect Data Input
